Run	Nevergrad	OMADS	pymoo-GA	SciPy-DIRECT	SciPy-DE	SciPy-DA	OASIS	ea	GENIE	sbo	soga
1	3.65971	205.95265	0.40501	0.21874	0.31109	0.28567	nan	112.75000	108.41000	1577.13000	94.67000
2	3.56858	205.56297	0.38036	0.21877	0.31625	0.30204	nan	111.99000	108.92000	1935.88000	92.33000
3	3.36454	214.45221	0.40124	0.20572	0.31997	0.28618	nan	112.37000	108.44000	1730.33000	93.14000
4	3.25851	202.22919	0.36008	0.19925	0.32157	0.30440	nan	111.91000	108.84000	1740.64000	92.42000
5	3.20982	214.58937	0.36248	0.21636	0.29364	0.33823	nan	111.89000	108.56000	1670.76000	93.23000
6	3.26787	213.70968	0.36027	0.20011	0.32825	0.28352	nan	112.22000	108.79000	1650.70000	93.74000
7	3.58269	210.68569	0.33876	0.21083	0.30594	0.29970	nan	111.87000	108.48000	nan	93.38000
8	3.24826	212.68506	0.39323	0.20392	0.32561	0.30341	nan	112.25000	108.62000	nan	93.25000
9	3.28319	208.80459	0.35842	0.19713	0.31875	0.29900	nan	112.21000	108.49000	nan	92.58000
10	3.22958	214.54414	0.34910	0.19221	0.30660	0.29525	nan	111.87000	110.39000	nan	93.88000
total (hr)	0.00935	0.58423	0.00103	0.00057	0.00087	0.00083	0.00000	0.31148	0.30221	2.86262	0.25906
